Controller,Kp,Ki,UphillDeviation,DownhillDeviation,ReturnDeviation,RMSEDisturbance,FinalAbsError,MaxThrottle,MaxBrake
Baseline,500,25,2863.34280841858,-2862.22287304271,2862.78289607617,2862.78289579572,2862.78289607617,4000,0
Tuned,1000,60,2863.34280841858,-2862.22287304271,2862.78289607617,2862.78289579572,2862.78289607617,4000,0
