Case,Max_Throttle_N,Max_Brake_N,Mean_Final_Throttle_N,Mean_Final_Power_kW,Traction_Energy_kWh,Brake_Energy_kWh
Baseline Nominal,1930.56282425753,821.310818665244,600.120004791675,17.8656812131518,0.962280338832751,0.169998521954265
Tuned Nominal,1920.66158429658,796.857049584906,590.128653688043,17.6609745298376,0.985628826387596,0.176220358761512
Tuned Heavy-Low Cd,2178.17090268812,1139.91091075155,565.200189833189,16.9064911417421,1.04018827498904,0.253620776225817
Tuned Heavy-High Cd,2315.01193918138,973.866555269607,709.822817590255,21.231966526203,1.17757481904442,0.212701191193788
