Case,Model,Mass_kg,Cd,Status,Time_to_99pct_s,Startup_Overshoot_mps,Overall_RMSE_mps,Disturbance_RMSE_mps,Overall_MAE_mps,IAE_m,Uphill_Drop_mps,Downhill_Rise_mps,Return_Drop_mps,Final_Error_mps
Baseline Nominal,week6_1_performance_logging,1500,0.3,정상,10.4944315993635,0.451679018268766,1.76018827166561,1.47261448573844,1.20956740427741,181.435110641612,1.68730015801925,3.39744043222129,1.163026139046,0.0778306874196701
Tuned Nominal,week6_6_final_tuned_controller,1500,0.3,정상,7.86353358255222,0.0476280117400201,1.19164334676809,0.729244650329975,0.619410433876201,92.9115650814302,1.01314180560793,1.89977721596575,0.736255496523757,0.0223272827390808
Tuned Heavy-Low Cd,week6_6_final_tuned_controller,1800,0.24,정상,8.7500562059698,0.102612870040204,1.34192810536095,0.878360540683313,0.744216480101022,111.632472015153,1.18391062160254,2.25671497062521,0.881490198132088,0.0255948075395622
Tuned Heavy-High Cd,week6_6_final_tuned_controller,1800,0.36,정상,9.52467520719642,0.0279783814274808,1.35118216534681,0.874354334201514,0.745268451893814,111.790267784072,1.19812089993397,2.23350822402983,0.868523984828382,0.0263486554600121
