Metric,Baseline,Tuned,ReductionPercent
Time to 99%,10.4944315993635,7.86353358255222,25.0694665251886
Startup overshoot,0.451679018268766,0.0476280117400201,89.4553411131266
Overall RMSE,1.76018827166561,1.19164334676809,32.3002336766805
Disturbance RMSE,1.47261448573844,0.729244650329975,50.4795954818889
Overall MAE,1.20956740427741,0.619410433876201,48.7907468665434
IAE,181.435110641612,92.9115650814302,48.7907468665434
Uphill drop,1.68730015801925,1.01314180560793,39.954856236292
Downhill rise,3.39744043222129,1.89977721596575,44.0821037523344
Return drop,1.163026139046,0.736255496523757,36.6948453000645
Final error,0.0778306874196701,0.0223272827390808,71.3130084298369
